Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Simplified
Enjoying a beautiful day at the park!,Positive,Afternoon,User123,Twitter,#Nature #Park,15.0,30.0, USA      ,2023,1,15,12,Positive
Traffic was terrible this morning.,Negative,Morning,CommuterX,Twitter,#Traffic #Morning,5.0,10.0, Canada   ,2023,1,15,8,Negative
Just finished an amazing workout! 💪,Positive,Evening,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0, USA        ,2023,1,15,15,Positive
Excited about the upcoming weekend getaway!,Positive,Evening,AdventureX,Facebook,#Travel #Adventure,8.0,15.0, UK       ,2023,1,15,18,Positive
Trying out a new recipe for dinner tonight.,Neutral,Night,ChefCook,Instagram,#Cooking #Food,12.0,25.0, Australia ,2023,1,15,19,Neutral
Feeling grateful for the little things in life.,Positive,Morning,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0, India    ,2023,1,16,9,Positive
Rainy days call for cozy blankets and hot cocoa.,Positive,Afternoon,RainyDays,Facebook,#RainyDays #Cozy,10.0,20.0, Canada   ,2023,1,16,14,Positive
The new movie release is a must-watch!,Positive,Night,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0, USA    ,2023,1,16,19,Positive
Political discussions heating up on the timeline.,Negative,Morning,DebateTalk,Twitter,#Politics #Debate,30.0,60.0, USA      ,2023,1,17,8,Negative
Missing summer vibes and beach days.,Neutral,Afternoon,BeachLover,Facebook,#Summer #BeachDays,18.0,35.0, Australia ,2023,1,17,12,Neutral
Just published a new blog post. Check it out!,Positive,Evening,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15,Positive
Feeling a bit under the weather today.,Negative,Morning,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0, Canada   ,2023,1,18,10,Negative
Exploring the city's hidden gems.,Positive,Afternoon,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12.0,25.0, UK       ,2023,1,18,14,Positive
"New year, new fitness goals! 💪",Positive,Evening,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0, USA        ,2023,1,18,18,Positive
Technology is changing the way we live.,Neutral,Morning,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0, India    ,2023,1,19,9,Neutral
Reflecting on the past and looking ahead.,Positive,Afternoon,Reflections,Facebook,#Reflection #Future,20.0,40.0, USA      ,2023,1,19,13,Positive
Just adopted a cute furry friend! 🐾,Positive,Evening,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0, Canada    ,2023,1,19,17,Positive
Late-night gaming session with friends.,Positive,Night,GamerX,Twitter,#Gaming #LateNight,18.0,35.0, UK       ,2023,1,20,0,Positive
Attending a virtual conference on AI.,Neutral,Afternoon,TechConference,Facebook,#AI #TechConference,25.0,50.0,USA,2023,1,20,11,Neutral
Winter blues got me feeling low.,Negative,Evening,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0, USA       ,2023,1,20,15,Negative
Sipping coffee and enjoying a good book.,Positive,Morning,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0, India    ,2023,1,21,8,Positive
Exploring the world of virtual reality.,Positive,Afternoon,VRExplorer,Facebook,#VR #VirtualReality,15.0,30.0,USA,2023,1,21,13,Positive
Productive day ticking off my to-do list.,Positive,Evening,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0, USA ,2023,1,21,16,Positive
Just finished a challenging workout routine.,Positive,Morning,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0, UK       ,2023,1,22,9,Positive
Celebrating a milestone at work! 🎉,Positive,Afternoon,CareerMilestone,Facebook,#Career #Milestone,12.0,25.0, Canada  ,2023,1,22,14,Positive
Sunday brunch with friends.,Positive,Afternoon,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0, UK ,2023,1,22,12,Positive
Learning a new language for personal growth.,Positive,Evening,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25.0,50.0, India     ,2023,1,23,16,Positive
Quiet evening with a good book.,Positive,Night,BookLover,Instagram,#Reading #QuietTime,15.0,30.0, Australia ,2023,1,23,19,Positive
Reflecting on the importance of mental health.,Positive,Afternoon,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0, USA      ,2023,1,24,11,Positive
New painting in progress! 🎨,Positive,Evening,ArtistInAction,Facebook,#Art #PaintingInProgress,12.0,25.0, Canada ,2023,1,24,15,Positive
Weekend road trip to explore scenic views.,Positive,Evening,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0, UK        ,2023,1,24,17,Positive
Enjoying a cup of tea and watching the sunset.,Positive,Evening,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0, India    ,2023,1,25,18,Positive
Coding a new project with enthusiasm.,Positive,Afternoon,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0, USA ,2023,1,25,13,Positive
Feeling inspired after attending a workshop.,Positive,Morning,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9,Positive
Winter sports day at the local park.,Positive,Afternoon,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0, Canada   ,2023,1,26,14,Positive
Quality time with family this weekend.,Positive,Evening,FamilyTime,Facebook,#FamilyTime #Weekend,22.0,45.0, UK        ,2023,1,26,17,Positive
Attending a live music concert tonight.,Positive,Night,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0, USA ,2023,1,27,20,Positive
Practicing mindfulness with meditation.,Positive,Afternoon,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0, India    ,2023,1,27,12,Positive
Trying out a new dessert recipe.,Positive,Evening,DessertExplorer,Facebook,#Dessert #Cooking,12.0,25.0, Canada ,2023,1,27,16,Positive
Excited about the upcoming gaming tournament.,Positive,Morning,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9,Positive
Planning a garden makeover for spring.,Positive,Afternoon,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0, USA      ,2023,1,28,14,Positive
Celebrating a friend's birthday tonight! 🎂,Positive,Night,BirthdayBash,Facebook,#Birthday #Celebration,15.0,30.0, UK ,2023,1,28,19,Positive
Feeling accomplished after a productive day.,Positive,Evening,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0, India ,2023,1,29,17,Positive
A cozy evening with a good movie.,Positive,Night,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0, Canada   ,2023,1,29,20,Positive
Exploring local art galleries this weekend.,Positive,Afternoon,ArtExplorer,Facebook,#Art #GalleryExplore,15.0,30.0, USA      ,2023,1,30,11,Positive
New book release from my favorite author!,Positive,Evening,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0, UK   ,2023,1,30,15,Positive
Attending a virtual reality meetup.,Positive,Evening,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0, India    ,2023,1,30,18,Positive
Reflecting on the beauty of nature.,Positive,Morning,NatureLover,Facebook,#Nature #Reflection,15.0,30.0, Australia ,2023,1,31,10,Positive
Cooking a special dinner for loved ones.,Positive,Night,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0, USA       ,2023,1,31,19,Positive
Feeling optimistic about the week ahead.,Positive,Evening,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0, Canada   ,2023,1,31,16,Positive
Starting a new fitness challenge tomorrow! 💪,Positive,Morning,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22.0,45.0, UK         ,2023,2,1,8,Positive
Sunday bike ride through scenic trails.,Positive,Afternoon,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0, USA     ,2023,2,1,13,Positive
Can't believe the injustice happening in our society.,Anger,Morning,SocialJustice,Twitter,#Injustice #Angry,20.0,40.0, Canada     ,2023,2,11,9,Negative
Feeling a sense of fear after watching a thriller movie.,Fear,Night,ThrillerFan,Instagram,#Fear #ThrillerMovie,15.0,30.0, USA          ,2023,2,11,21,Negative
Heartbroken after hearing the news about a natural disaster.,Sadness,Afternoon,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25.0,50.0, India      ,2023,2,12,14,Negative
The state of the world's environment is just disgusting.,Disgust,Evening,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0, UK         ,2023,2,12,18,Negative
Pure happiness: celebrating a loved one's achievement!,Happiness,Morning,ProudFriend,Instagram,#Happiness #Celebration,30.0,60.0, USA ,2023,2,13,10,Positive
Laughter is the best medicine—enjoying a comedy show.,Joy,Night,ComedyFan,Facebook,#Joy #ComedyShow,22.0,45.0, Canada    ,2023,2,13,19,Positive
Sharing love and positive vibes with everyone! ❤️,Love,Morning,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0, Australia  ,2023,2,14,8,Positive
An amusing incident brightened up my day!,Amusement,Afternoon,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0, UK           ,2023,2,14,14,Positive
Enjoying a quiet evening with a book and some tea.,Enjoyment,Night,BookLoverAgain,Facebook,#Enjoyment #BookTime,25.0,50.0, Canada       ,2023,2,14,19,Positive
Admiring the beauty of nature during a peaceful hike.,Admiration,Afternoon,NatureAdmirer,Twitter,#Admiration #Nature,20.0,40.0, USA       ,2023,2,15,11,Positive
Sending affectionate vibes to all my followers!,Affection,Evening,AffectionSender,Instagram,#Affection #PositiveVibes,15.0,30.0,USA,2023,2,15,16,Positive
Experiencing awe at the breathtaking sunset.,Awe,Night,AweStruck,Facebook,#Awe #Breathtaking,22.0,45.0, Australia   ,2023,2,15,20,Positive
Disappointed with the service at a local restaurant.,Disappointed,Morning,FoodieGoneWrong,Twitter,#Disappointed #BadService,18.0,35.0, India      ,2023,2,16,9,Negative
A surprise gift from a friend made my day!,Surprise,Afternoon,HappySurprise,Instagram,#Surprise #Gift,25.0,50.0, USA          ,2023,2,16,14,Neutral
Finding acceptance in the midst of life's challenges.,Acceptance,Evening,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15.0,30.0, Canada     ,2023,2,16,18,Positive
Overflowing with adoration for my adorable pet! 🐾,Adoration,Morning,PetAdorer,Twitter,#Adoration #PetLove,22.0,45.0, UK        ,2023,2,17,10,Positive
Anticipating a thrilling adventure in the coming weeks.,Anticipation,Morning,AdventureAwaits,Instagram,#Anticipation #Adventure,20.0,40.0,USA,2023,2,17,7,Neutral
A bitter experience turned into a valuable lesson.,Bitter,Evening,LearnFromBitter,Facebook,#BitterLesson #Growth,18.0,35.0, USA       ,2023,2,17,15,Neutral
Finding calmness in the midst of a busy day.,Calmness,Morning,ZenMaster,Twitter,#Calmness #PeacefulMind,15.0,30.0, India     ,2023,2,18,9,Neutral
Confusion clouds my mind as I navigate through decisions.,Confusion,Afternoon,ConfusedMind,Instagram,#Confusion #DecisionMaking,25.0,50.0, UK   ,2023,2,18,14,Neutral
Excitement building up for the upcoming vacation!,Excitement,Evening,VacationDreamer,Facebook,#Excitement #TravelPlans,22.0,45.0, Canada    ,2023,2,18,18,Neutral
Kindness witnessed today restored my faith in humanity.,Kind,Afternoon,KindnessPrevails,Twitter,#Kindness #Humanity,20.0,40.0, USA       ,2023,2,19,11,Neutral
Pride in achieving a personal milestone.,Pride,Evening,PersonalAchiever,Instagram,#Pride #Milestone,30.0,60.0, Australia    ,2023,2,19,16,Neutral
A moment of shame for not standing up against injustice.,Shame,Night,ReflectiveSelf,Facebook,#Shame #Injustice,15.0,30.0, India      ,2023,2,19,19,Negative
Fuming with anger after a heated argument.,Anger,Morning,AngryDebater,Twitter,#Anger #Argument,20.0,40.0, Canada     ,2023,2,20,9,Negative
The fear of the unknown is keeping me up at night.,Fear,Night,FearfulDreamer,Instagram,#Fear #Unknown,15.0,30.0, USA          ,2023,2,20,21,Negative
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,Afternoon,FarewellHeart,Facebook,#Sadness #Farewell,25.0,50.0, India      ,2023,2,21,14,Negative
The state of corruption in our society is utterly disgusting.,Disgust,Evening,AntiCorruption,Twitter,#Disgust #Corruption,18.0,35.0, UK         ,2023,2,21,18,Negative
